tic_id,stamp_class,stamp_label,periode,snr,note
150284425,reject,Binaire,3.0293,37.1,Creux net et profond (4.2 %) — le plus prometteur du lot. Mais l'étoile hôte est une A chaude de 3.6 R☉ : ça implique un compagnon de 7.17 rayons joviens. Trop gros pour une planète — naine rouge ou brune en transit.
89045042,reject,Binaire,12.6435,14.7,"Deux éclipses distinctes par cycle, décalées (pas à phase 0.5 pile) — signature d'une binaire à éclipses sur orbite excentrique, pas d'un transit planétaire isolé."
93441696,reject,Binaire,0.6755,76.7,"20 % de variation, double bosse par cycle — variation ellipsoïdale classique d'une binaire serrée déformée par la marée. Le cas qui a motivé le filtre de profondeur."
166932528,reject,Variable,4.1054,11.5,"Onde continue sur l'ensemble du cycle, forêt de pics comparables au périodogramme — étoile pulsante à fréquences multiples, pas un événement ponctuel."
369470361,reject,Variable,1.1236,10.0,"Même profil que TIC 166932528 — modulation continue, pas de creux isolé. SNR le plus faible des candidats retenus, cohérent avec un signal de pulsation ténu."
54002166,marginal,Artefact probable,14.6955,10.9,"La puissance grimpe encore au bord de la plage testée (15 j) au lieu de redescendre — la vraie période est probablement au-delà. Dupliqué à 0.8″ près sous un second identifiant TIC : même étoile, comptée deux fois."
178155732,marginal,Non tranché,3.592,14.2,"Baseline plate, pas de faux positif évident — mais signal trop faible et bruité pour conclure. Ni écarté ni retenu : demande plus de données."
326242565,reject,Variable,0.8263,,"Le tout premier candidat du projet. ""Transit"" occupant 34 % du cycle — ce cas précis a motivé la création du filtre de ratio durée/période."
37606218,reject,Binaire (confirmée),7.8507,10.8,"Le candidat le plus propre du projet -- passe tous les filtres automatiques ET l'examen visuel. Mais déjà étudiée par des astronomes professionnels (spectroscopie NIRPS/HARPS, MNRAS 2025) : c'est une naine M en orbite, pas une planète -- rayon proche d'une géante gazeuse, mais masse stellaire. Une contamination lumineuse de 21.6% par une étoile voisine (78'') brouille encore le signal. La limite exacte d'un pipeline photométrique seul : le rayon ne suffit pas, il faut la masse."
97921547,confirm,Planète confirmée (TOI-6442.01),2.8277,32.1,"Statut officiel CP dans la table TOI -- une vraie exoplanète confirmée par la communauté professionnelle. Ton pipeline l'a redécouverte en aveugle : période officielle 2.8279716j contre 2.8277j calculée ici, rayon officiel 18.5 R_terre contre 19.7 estimé. Pas une découverte personnelle -- une validation supplémentaire, aussi solide que Kepler-69."
178289267,confirm,Planète connue (TOI-1936.01),2.3499,16.0,"Statut officiel KP (Known Planet) -- système déjà établi avant TESS. Période officielle 2.3506186j contre 2.3499j calculée ici, rayon officiel 12.8 R_terre contre 12.1 estimé. Encore une redécouverte en aveugle, pas une nouvelle planète."
